"","iso3","cname","cu_cases","days_elapsed"
"1","FRO","Faroe Islands",467571,1
"2","BRN","Brunei Darussalam",467571,1
"3","KHM","Cambodia",467571,1
"4","COD","Congo, the Democratic Republic of the",467571,1
"5","GIB","Gibraltar",467571,1
"6","GUM","Guam",467571,1
"7","GIN","Guinea",467571,1
"8","PSE","Palestine, State of",467571,1
"9","SMR","San Marino",467571,1
"10","AFG","Afghanistan",467571,1
"11","ALB","Albania",467571,1
"12","AND","Andorra",467571,1
"13","BGD","Bangladesh",467571,1
"14","BOL","Bolivia, Plurinational State of",467571,1
"15","BFA","Burkina Faso",467571,1
"16","CRI","Costa Rica",467571,1
"17","CIV","C̫te d'Ivoire",467571,1
"18","CYP","Cyprus",467571,1
"19","DJI","Djibouti",467571,1
"20","SLV","El Salvador",467571,1
"21","GEO","Georgia",467571,1
"22","GHA","Ghana",467571,1
"23","GTM","Guatemala",467571,1
"24","GGY","Guernsey",467571,1
"25","HND","Honduras",467571,1
"26","IMN","Isle of Man",467571,1
"27","JEY","Jersey",467571,1
"28","JOR","Jordan",467571,1
"29","KEN","Kenya",467571,1
"30","XKV","Kosovo",467571,1
"31","KGZ","Kyrgyzstan",467571,1
"32","LVA","Latvia",467571,1
"33","LBN","Lebanon",467571,1
"34","MDG","Madagascar",467571,1
"35","MLI","Mali",467571,1
"36","MLT","Malta",467571,1
"37","MUS","Mauritius",467571,1
"38","MNE","Montenegro",467571,1
"39","NER","Niger",467571,1
"40","NGA","Nigeria",467571,1
"41","OMN","Oman",467571,1
"42","PRY","Paraguay",467571,1
"43","RWA","Rwanda",467571,1
"44","SEN","Senegal",467571,1
"45","LKA","Sri Lanka",467571,1
"46","TWN","Taiwan, Province of China",467571,1
"47","TTO","Trinidad and Tobago",467571,1
"48","URY","Uruguay",467571,1
"49","VEN","Venezuela, Bolivarian Republic of",467571,1
"50","VNM","Viet Nam",467571,1
